target,feature_set,model,n_test_sum,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std
NH3_3class,S2 only,CatBoost,114,0.37719298245614036,0.060773712546276434,0.34279609279609274,0.0344148567583979,0.262600570784714,0.03361121279797411
NH3_3class,S2 only,DummyMostFrequent,114,0.35964912280701755,0.08039606482378667,0.3333333333333333,0.0,0.17521837017635333,0.028569201547641226
NH3_3class,S2 only,ExtraTrees,114,0.37719298245614036,0.060773712546276434,0.34662636745970077,0.024111713684046656,0.2993300249298856,0.03879661005276174
NH3_3class,S2 only,Logistic,114,0.3333333333333333,0.08039606482378661,0.2985941074176368,0.023627734496933638,0.30390708168485947,0.03774948230033822
NH3_3class,S2 only,RandomForest,114,0.33333333333333326,0.09241801537590123,0.3042682172584133,0.08182373762491635,0.24924476240974847,0.03653950367488191
NH3_3class,S2 only,Stacking_LogisticMeta,114,0.3508771929824561,0.10635399695598365,0.33334104167437495,0.07384623245764203,0.310808046060884,0.08590032563477415
NH3_3class,S2 only,XGBoost,114,0.3508771929824561,0.06622661785325214,0.34040795805501683,0.06721550189490262,0.281675148928538,0.09315042499961554
NH3_binary,Context only,CatBoost,114,0.543859649122807,0.05478068419647723,0.6149124078535843,0.010256945293118006,0.5424803186998308,0.05374313367589118
NH3_binary,Context only,DummyMostFrequent,114,0.35964912280701755,0.08039606482378667,0.5,0.0,0.26282755526453,0.04285380232146191
NH3_binary,Context only,ExtraTrees,114,0.5789473684210527,0.0696250345016998,0.6527375892081775,0.030255320200731916,0.5756007318507318,0.06633011661756738
NH3_binary,Context only,Logistic,114,0.5175438596491229,0.060773712546276434,0.5494718353541883,0.018712669962462538,0.5138536849257213,0.05796518159029071
NH3_binary,Context only,RandomForest,114,0.5701754385964912,0.054780684196477164,0.6465345112403935,0.02198431972388762,0.5682575109045698,0.053052020958661475
NH3_binary,Context only,Stacking_LogisticMeta,114,0.5350877192982456,0.015193428136569147,0.5773662067779716,0.013646752287097405,0.533215248385527,0.016757989867767522
NH3_binary,Context only,XGBoost,114,0.5263157894736842,0.052631578947368474,0.5827250454701436,0.0684759172981463,0.525,0.052777777777777785
NH3_binary,S2 + Context,CatBoost,114,0.543859649122807,0.11866446717954993,0.5966897880623371,0.08123297394243575,0.5430411042734534,0.11762315462103301
NH3_binary,S2 + Context,DummyMostFrequent,114,0.35964912280701755,0.08039606482378667,0.5,0.0,0.26282755526453,0.04285380232146191
NH3_binary,S2 + Context,ExtraTrees,114,0.6315789473684211,0.0455802844097073,0.6943933626286567,0.02385519253419656,0.6271045238787174,0.04312232823165463
NH3_binary,S2 + Context,Logistic,114,0.5350877192982456,0.054780684196477275,0.5376025717202187,0.038190594839973134,0.521775551211035,0.05554733436960569
NH3_binary,S2 + Context,RandomForest,114,0.5701754385964912,0.06622661785325218,0.6308177370922469,0.061257334854591686,0.5684873796328904,0.06614991724201254
NH3_binary,S2 + Context,Stacking_LogisticMeta,114,0.6052631578947368,0.02631578947368421,0.63725623686408,0.012437942321109731,0.6005082767277888,0.03124926836956183
NH3_binary,S2 + Context,XGBoost,114,0.543859649122807,0.05478068419647719,0.5822994434759141,0.0699715723864475,0.5390629959713407,0.05900854194925312
NH3_binary,S2 only,CatBoost,114,0.4122807017543859,0.05478068419647715,0.4765282792733773,0.06010224393663224,0.4036668695563961,0.0587993087322511
NH3_binary,S2 only,DummyMostFrequent,114,0.35964912280701755,0.08039606482378667,0.5,0.0,0.26282755526453,0.04285380232146191
NH3_binary,S2 only,ExtraTrees,114,0.4298245614035087,0.09962997097895217,0.4661404971208893,0.03732133745907533,0.41901737042402004,0.09928554152179284
NH3_binary,S2 only,Logistic,114,0.5350877192982456,0.015193428136569147,0.5434137540019893,0.03849204266826673,0.5171339057808839,0.01135587647884385
NH3_binary,S2 only,RandomForest,114,0.42105263157894735,0.045580284409707315,0.4587713230850486,0.0439532594612014,0.40659125200104196,0.04184711706355104
NH3_binary,S2 only,Stacking_LogisticMeta,114,0.47368421052631576,0.04558028440970729,0.48127460049028675,0.059540014050170204,0.4611430727293333,0.05721898914173932
NH3_binary,S2 only,XGBoost,114,0.4298245614035088,0.08039606482378667,0.48693303791343007,0.019856275347315044,0.4246901284904688,0.08619071561155471
