split,fold,task,target,feature_set,model,transform,n_features,n_train,n_test,original_n,original_mae,original_rmse,original_r2,original_pearson_r,original_spearman_r,original_bias,modelscale_mae,modelscale_rmse,modelscale_r2,modelscale_pearson_r,modelscale_spearman_r,modelscale_bias,accuracy,balanced_accuracy,macro_f1,experiment_group,experiment_family,validation_design,preset_or_model_config,station_temporal_available
temporal,,regression,Turbidity,S2 only,XGBoost,log1p,32,276,114,114.0,23.162763099203328,53.10661298501304,0.2874704616342537,0.5852014870373196,0.6412772731612203,-11.819998814141442,0.6596605863117073,0.8424358980879635,0.3763538503746149,0.6546912671100938,0.6412772731612203,-0.1268877497126928,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,Turbidity,S2 only,CatBoost,log1p,32,276,114,114.0,22.69611411359888,54.0068346791888,0.2631092357994179,0.5710964098221408,0.6673970539674801,-11.878590048035225,0.6157066018158215,0.8079817413260583,0.4263227743759591,0.6683997219228005,0.6673970539674801,-0.0761620581667721,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,Turbidity,S2 only,Stacking_RidgeMeta,log1p,32,276,114,114.0,22.84238827511017,57.306067175449606,0.1703271586729179,0.5514087781682772,0.6793492129315477,-16.338013766304005,0.5945475198141628,0.7966202590466179,0.4423429340499897,0.6797227333378616,0.6793492129315477,-0.1459513773235616,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,SS,S2 only,DummyMedian,log1p,32,276,114,114.0,22.63233526064488,63.1224503804302,-0.0709291691203448,,,-16.244857721811265,0.7214847326900372,0.902212466091704,-0.0417595324975228,,,-0.1806354128528284,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,SS,S2 only,Ridge,log1p,32,276,114,114.0,18.56190204733108,59.48865450093689,0.0488229983095196,0.3312219762170039,0.6852369395000166,-11.469302833107688,0.5381410178950455,0.6872341515535508,0.3955515022603623,0.6557453458326712,0.6852369395000166,-0.0143601240914815,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,SS,S2 only,ElasticNet,log1p,32,276,114,114.0,18.231337258712088,59.25196514221354,0.0563768958945619,0.3145480992745106,0.6824161467132523,-10.713402050527288,0.5285782484277183,0.6834751714325744,0.4021457495826668,0.6465267409488488,0.6824161467132523,-0.0019340988164412,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,SS,S2 only,RandomForest,log1p,32,276,114,114.0,18.186908632613992,59.50303928584751,0.0483629398006589,0.2687496455640074,0.6687850803936828,-9.208851707998551,0.516505010959342,0.6802064956862407,0.4078504741200532,0.6402701563488401,0.6687850803936828,0.0276546426652356,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,SS,S2 only,ExtraTrees,log1p,32,276,114,114.0,18.15537100009379,59.72831977288436,0.041143439827302,0.2484281207359081,0.6722778855796467,-8.660999173770886,0.5133780693395534,0.6885842970492037,0.3931741609526591,0.6294889562394848,0.6722778855796467,0.0461365824876347,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,SS,S2 only,XGBoost,log1p,32,276,114,114.0,19.00938117685116,60.24500520907681,0.0244823285901447,0.2162064813913485,0.5850863508958268,-8.372865485972074,0.5562002330722664,0.7433318357525323,0.292843882538628,0.5508492444015088,0.5850863508958268,0.0426266747408501,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,SS,S2 only,CatBoost,log1p,32,276,114,114.0,18.708907298634035,59.539754525516926,0.0471881977178457,0.2564943567742508,0.6161772949205298,-8.31611551925716,0.5487938198505872,0.7198867122734853,0.336748637545204,0.5850634527883983,0.6161772949205298,0.051312090828767,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
