split,fold,task,target,feature_set,model,transform,n_features,n_train,n_test,original_n,original_mae,original_rmse,original_r2,original_pearson_r,original_spearman_r,original_bias,modelscale_mae,modelscale_rmse,modelscale_r2,modelscale_pearson_r,modelscale_spearman_r,modelscale_bias,accuracy,balanced_accuracy,macro_f1,experiment_group,experiment_family,validation_design,preset_or_model_config,station_temporal_available,rank_metric
temporal,,regression,BOD,S2 only,DummyMedian,raw,32,276,114,114.0,0.6333333333333332,0.9316086822492076,-0.1711550442330851,7.01408035995614e-17,,-0.3561403508771929,0.6333333333333332,0.9316086822492076,-0.1711550442330851,7.01408035995614e-17,,-0.3561403508771929,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,0.9316086822492076
temporal,,regression,BOD,Context only,DummyMedian,raw,106,276,114,114.0,0.6333333333333332,0.9316086822492076,-0.1711550442330851,7.01408035995614e-17,,-0.3561403508771929,0.6333333333333332,0.9316086822492076,-0.1711550442330851,7.01408035995614e-17,,-0.3561403508771929,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,0.9316086822492076
temporal,,regression,BOD,S2 + Context,DummyMedian,raw,138,276,114,114.0,0.6333333333333332,0.9316086822492076,-0.1711550442330851,7.01408035995614e-17,,-0.3561403508771929,0.6333333333333332,0.9316086822492076,-0.1711550442330851,7.01408035995614e-17,,-0.3561403508771929,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,0.9316086822492076
temporal,,regression,DO,S2 + Context,RandomForest,raw,138,276,114,114.0,0.7315498729281716,0.8897228968991052,0.4200323827110742,0.6811320185545958,0.5925809047802922,-0.2373587885975752,0.7315498729281716,0.8897228968991052,0.4200323827110742,0.6811320185545958,0.5925809047802922,-0.2373587885975752,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,0.8897228968991052
temporal,,regression,DO,S2 + Context,CatBoost,raw,138,276,114,114.0,0.7250115476549535,0.8999472638117134,0.4066262462994836,0.6821545935986535,0.6039805866603545,-0.2465240063732445,0.7250115476549535,0.8999472638117134,0.4066262462994836,0.6821545935986535,0.6039805866603545,-0.2465240063732445,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,0.8999472638117134
temporal,,regression,DO,Context only,RandomForest,raw,106,276,114,114.0,0.7436425738880997,0.9006393161454421,0.4057132959540879,0.6802471570056804,0.5960688671465799,-0.2683614680383663,0.7436425738880997,0.9006393161454421,0.4057132959540879,0.6802471570056804,0.5960688671465799,-0.2683614680383663,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,0.9006393161454421
temporal,,regression,DO,S2 + Context,XGBoost,raw,138,276,114,114.0,0.7529110563847058,0.9089509452462576,0.3946938282570443,0.6687647787743166,0.5807153510394598,-0.2207656082354094,0.7529110563847058,0.9089509452462576,0.3946938282570443,0.6687647787743166,0.5807153510394598,-0.2207656082354094,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,0.9089509452462576
temporal,,regression,DO,Context only,CatBoost,raw,106,276,114,114.0,0.7586571733887677,0.9184647299863218,0.3819563082992778,0.666439718261518,0.5705188338780823,-0.257506656909806,0.7586571733887677,0.9184647299863218,0.3819563082992778,0.666439718261518,0.5705188338780823,-0.257506656909806,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,0.9184647299863218
temporal,,regression,DO,Context only,XGBoost,raw,106,276,114,114.0,0.7512408192952474,0.9284575864758288,0.3684345711259817,0.6598748558922476,0.5785642383605994,-0.2186509483738949,0.7512408192952474,0.9284575864758288,0.3684345711259817,0.6598748558922476,0.5785642383605994,-0.2186509483738949,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,0.9284575864758288
temporal,,regression,DO,S2 + Context,ExtraTrees,raw,138,276,114,114.0,0.7795182121971596,0.9658749344773356,0.3165039605328513,0.6430259311922455,0.5525645374699671,-0.1875878028404342,0.7795182121971596,0.9658749344773356,0.3165039605328513,0.6430259311922455,0.5525645374699671,-0.1875878028404342,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,0.9658749344773356
temporal,,regression,DO,Context only,ExtraTrees,raw,106,276,114,114.0,0.7758708855472015,0.9748248370303028,0.3037785772416579,0.6439676985869477,0.559965823466724,-0.2607637009189638,0.7758708855472015,0.9748248370303028,0.3037785772416579,0.6439676985869477,0.559965823466724,-0.2607637009189638,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,0.9748248370303028
