target,feature_set,model,transform,is_dummy,n_test_sum,selection_metric_name,selection_rmse_mean,rank_selection_rmse,selection_r2_mean,rank_selection_r2,selection_spearman_r_mean,rank_selection_spearman,original_rmse_mean,original_rmse_std,original_mae_mean,original_r2_mean,original_pearson_r_mean,original_spearman_r_mean,original_bias_mean,modelscale_rmse_mean,modelscale_rmse_std,modelscale_r2_mean,modelscale_spearman_r_mean,rank_original_rmse,rank_modelscale_rmse
BOD,Context only,Stacking_RidgeMeta,raw,False,114,original_rmse_mean,0.8734099546244991,3.0,-0.2193958959411422,5.0,0.2206899185428628,4.0,0.8734099546244991,0.1353103467250423,0.6300581168455214,-0.2193958959411422,0.175726045946995,0.2206899185428628,-0.1894261310798949,0.8740183021686653,0.1350251453543771,-0.2206379574956356,0.2206899185428628,3.0,2.0
BOD,Context only,ExtraTrees,raw,False,114,original_rmse_mean,0.8766948261083334,4.0,-0.2142485594827476,4.0,0.1843248803109766,6.0,0.8766948261083334,0.1586638404713353,0.6260100250626567,-0.2142485594827476,0.1650274661486442,0.1843248803109766,-0.2072648287385128,0.8766948261083334,0.1586638404713353,-0.2142485594827476,0.1843248803109766,4.0,3.0
BOD,Context only,RandomForest,raw,False,114,original_rmse_mean,0.8795878995557942,5.0,-0.2629841118556607,6.0,0.2383709005879093,2.0,0.8795878995557942,0.1199586780726444,0.6372020421299833,-0.2629841118556607,0.2133828068880077,0.2383709005879093,-0.1055632368221486,0.8795878995557942,0.1199586780726444,-0.2629841118556607,0.2383709005879093,5.0,4.0
BOD,Context only,XGBoost,raw,False,114,original_rmse_mean,0.8798674531684488,6.0,-0.2635767594327432,7.0,0.1788320326455074,7.0,0.8798674531684488,0.1309302076679335,0.6325413506282003,-0.2635767594327432,0.1612072565362863,0.1788320326455074,-0.1356489845535211,0.8798674531684488,0.1309302076679335,-0.2635767594327432,0.1788320326455074,6.0,5.0
BOD,Context only,DummyMedian,raw,True,114,original_rmse_mean,0.8924747991525072,7.0,-0.1486617959040092,3.0,,,0.8924747991525072,0.2713929843384259,0.6298245614035087,-0.1486617959040092,-2.6202673069309224e-16,,-0.3228070175438596,0.8924747991525072,0.2713929843384259,-0.1486617959040092,,7.0,6.0
BOD,Context only,ElasticNet,raw,False,114,original_rmse_mean,1.2082377315643396,8.0,-2.858889231826995,8.0,0.2276350285214666,3.0,1.2082377315643396,0.5004730245281378,0.8943216652466887,-2.858889231826995,0.2861651881869818,0.2276350285214666,0.2666782870525849,1.359784788120087,0.4176185152990676,-3.2744440729569924,0.2276350285214666,8.0,8.0
BOD,S2 + Context,Ridge,raw,False,114,original_rmse_mean,0.7960583902894642,1.0,-0.1514378195239205,3.0,0.4321717663571556,1.0,0.7960583902894642,0.0332912699050285,0.5997081958342508,-0.1514378195239205,0.4404367990810223,0.4321717663571556,-0.0500675798428028,1.026827445081817,0.2358960905174268,-0.6852179521688334,0.4321717663571556,1.0,7.0
BOD,S2 + Context,CatBoost,raw,False,114,original_rmse_mean,0.824102803262801,2.0,-0.0970962163873876,1.0,0.3443508443295195,2.0,0.824102803262801,0.1484465024920137,0.5791739311929168,-0.0970962163873876,0.3033634205442497,0.3443508443295195,-0.0521730253340753,0.824102803262801,0.1484465024920137,-0.0970962163873876,0.3443508443295195,2.0,1.0
BOD,S2 + Context,XGBoost,raw,False,114,original_rmse_mean,0.8738134009451802,3.0,-0.342037275781293,4.0,0.3079373171338582,7.0,0.8738134009451802,0.0983004654106278,0.6232315078116301,-0.342037275781293,0.2807805401327979,0.3079373171338582,-0.0295174314264665,0.8738134009451802,0.0983004654106278,-0.342037275781293,0.3079373171338582,3.0,2.0
BOD,S2 + Context,ExtraTrees,raw,False,114,original_rmse_mean,0.8836995536952227,4.0,-0.4009258766369303,5.0,0.3432387409491302,3.0,0.8836995536952227,0.121601290869893,0.6071629072681705,-0.4009258766369303,0.2765918611644876,0.3432387409491302,-0.1060944026733501,0.8836995536952227,0.121601290869893,-0.4009258766369303,0.3432387409491302,4.0,3.0
BOD,S2 + Context,Stacking_RidgeMeta,raw,False,114,original_rmse_mean,0.8900986812402829,5.0,-0.4077910406885097,6.0,0.3321465766574181,6.0,0.8900986812402829,0.1035873485937935,0.6203325372592016,-0.4077910406885097,0.2849705290733817,0.3321465766574181,-0.0961076447275396,0.8980102301222482,0.0907450169951945,-0.42311714871147,0.3321465766574181,5.0,5.0
BOD,S2 + Context,DummyMedian,raw,True,114,original_rmse_mean,0.8924747991525072,6.0,-0.1486617959040092,2.0,,,0.8924747991525072,0.2713929843384259,0.6298245614035087,-0.1486617959040092,-2.6202673069309224e-16,,-0.3228070175438596,0.8924747991525072,0.2713929843384259,-0.1486617959040092,,6.0,4.0
BOD,S2 + Context,RandomForest,raw,False,114,original_rmse_mean,0.9052660677334567,7.0,-0.5601700433046127,7.0,0.3356454623165528,5.0,0.9052660677334567,0.1432114575996473,0.6355072875510568,-0.5601700433046127,0.298001353195035,0.3356454623165528,-0.0161994161687494,0.9052660677334567,0.1432114575996473,-0.5601700433046127,0.3356454623165528,7.0,6.0
BOD,S2 + Context,ElasticNet,raw,False,114,original_rmse_mean,1.1142125968941847,8.0,-2.009236480038839,8.0,0.3363988615208553,4.0,1.1142125968941847,0.376872836856078,0.8719724480188663,-2.009236480038839,0.3910359268052892,0.3363988615208553,0.2049509335540946,1.3712762020632645,0.3518782490716932,-2.7924791221422223,0.3363988615208553,8.0,8.0
DO,S2 only,DummyMedian,raw,True,114,original_rmse_mean,1.218158102094031,1.0,-0.1980202604255476,1.0,,,1.218158102094031,0.1904826130518338,0.9777192982456144,-0.1980202604255476,1.0719873506828735e-16,,-0.1885964912280701,1.218158102094031,0.1904826130518338,-0.1980202604255476,,1.0,1.0
DO,S2 only,Ridge,raw,False,114,original_rmse_mean,1.2350618162337266,2.0,-0.3115114582907,2.0,0.2351171582732714,4.0,1.2350618162337266,0.094717355823942,0.9766023308323916,-0.3115114582907,0.24488866840425,0.2351171582732714,-0.2952529624383034,1.2350618162337266,0.094717355823942,-0.3115114582907,0.2351171582732714,2.0,2.0
DO,S2 only,ExtraTrees,raw,False,114,original_rmse_mean,1.2488186021943433,3.0,-0.3476645520377086,4.0,0.3147154136389811,1.0,1.2488186021943433,0.144675844111635,0.9667174603174612,-0.3476645520377086,0.2842331818691256,0.3147154136389811,-0.3281164578111947,1.2488186021943433,0.144675844111635,-0.3476645520377086,0.3147154136389811,3.0,3.0
DO,S2 only,Stacking_RidgeMeta,raw,False,114,original_rmse_mean,1.256490580766526,4.0,-0.3413151841716916,3.0,0.1989631916251442,6.0,1.256490580766526,0.1145142150401827,0.9879130456872302,-0.3413151841716916,0.2117612740484154,0.1989631916251442,-0.3321228238538325,1.256490580766526,0.1145142150401827,-0.3413151841716916,0.1989631916251442,4.0,4.0
DO,S2 only,ElasticNet,raw,False,114,original_rmse_mean,1.276342226717148,5.0,-0.4268876656238864,5.0,0.2373034081926476,3.0,1.276342226717148,0.1083078293298146,0.9921269422183716,-0.4268876656238864,0.239789078977338,0.2373034081926476,-0.2415049901917252,1.276342226717148,0.1083078293298146,-0.4268876656238864,0.2373034081926476,5.0,5.0
DO,S2 only,RandomForest,raw,False,114,original_rmse_mean,1.2827490604773455,6.0,-0.4738258432528093,6.0,0.275652360213435,2.0,1.2827490604773455,0.0805005789449321,1.0119912395966029,-0.4738258432528093,0.2668026788240001,0.275652360213435,-0.4263045484096806,1.2827490604773455,0.0805005789449321,-0.4738258432528093,0.275652360213435,6.0,6.0
DO,S2 only,CatBoost,raw,False,114,original_rmse_mean,1.4053554389023306,7.0,-0.8567759760694985,7.0,0.1849428797145169,7.0,1.4053554389023306,0.1777415193549041,1.11472029923398,-0.8567759760694985,0.187505711744633,0.1849428797145169,-0.4476871085324794,1.4053554389023306,0.1777415193549041,-0.8567759760694985,0.1849428797145169,7.0,7.0
