target,feature_set,model,transform,n_test_sum,original_rmse_mean,original_rmse_std,original_mae_mean,original_r2_mean,original_pearson_r_mean,original_spearman_r_mean,original_bias_mean,modelscale_rmse_mean,modelscale_rmse_std,modelscale_r2_mean,modelscale_spearman_r_mean
BOD,S2 + Context,XGBoost,raw,114,0.8738134009451802,0.09830046541062788,0.6232315078116301,-0.342037275781293,0.2807805401327979,0.30793731713385825,-0.029517431426466567,0.8738134009451802,0.09830046541062788,-0.342037275781293,0.30793731713385825
BOD,S2 only,CatBoost,raw,114,0.9108027227528996,0.13906346233449263,0.645649289525732,-0.6221810306234911,0.3816511499887813,0.4460571769721131,0.07078195016247639,0.9108027227528996,0.13906346233449263,-0.6221810306234911,0.4460571769721131
BOD,S2 only,DummyMedian,raw,114,0.8924747991525072,0.2713929843384259,0.6298245614035087,-0.1486617959040092,-2.6202673069309224e-16,,-0.3228070175438596,0.8924747991525072,0.2713929843384259,-0.1486617959040092,
BOD,S2 only,ElasticNet,raw,114,0.9736390831486709,0.28444758355062844,0.6997160058786555,-1.1210228407816196,0.4081505556401009,0.41373284553409256,0.07801770131988207,0.9736390831486709,0.28444758355062844,-1.1210228407816196,0.41373284553409256
BOD,S2 only,ExtraTrees,raw,114,1.022581591962341,0.25220033266132413,0.7112426900584795,-1.28724800319925,0.32435512028194674,0.41719253464647993,0.10772138680033437,1.022581591962341,0.25220033266132413,-1.28724800319925,0.41719253464647993
BOD,S2 only,RandomForest,raw,114,0.9390781017438785,0.20124444010355766,0.6543735532967122,-0.8480014390623447,0.40830824637182234,0.49256111135965724,0.07089440033793748,0.9390781017438785,0.20124444010355766,-0.8480014390623447,0.49256111135965724
BOD,S2 only,Ridge,raw,114,0.9613164413451413,0.24911898633267202,0.6852344439645491,-0.9842965177645241,0.42565253638306916,0.45059588673693335,0.03373682196624245,0.9613164413451413,0.24911898633267202,-0.9842965177645241,0.45059588673693335
BOD,S2 only,Stacking_RidgeMeta,raw,114,0.9160336262026342,0.11850268820143105,0.6601593223689287,-0.5311073233895183,0.3812161661277232,0.4190667068338258,-0.005704965059236826,0.9160336262026342,0.11850268820143105,-0.5311073233895183,0.4190667068338258
BOD,S2 only,XGBoost,raw,114,0.9157238515600178,0.16902761579899775,0.6472683346062376,-0.7207559938636751,0.40133629677827726,0.45144229145166426,0.12863923541286534,0.9157238515600178,0.16902761579899775,-0.7207559938636751,0.45144229145166426
DO,Context only,CatBoost,raw,114,1.3882732595286509,0.1330512443578932,1.1344300865660177,-0.7542260288355123,0.15129403170985384,0.15617004424658507,-0.3820324807279168,1.3882732595286509,0.1330512443578932,-0.7542260288355123,0.15617004424658507
DO,Context only,DummyMedian,raw,114,1.218158102094031,0.19048261305183384,0.9777192982456143,-0.19802026042554766,1.0719873506828735e-16,,-0.18859649122807012,1.218158102094031,0.19048261305183384,-0.19802026042554766,
DO,Context only,ElasticNet,raw,114,3.689723739727039,2.8647129747129028,2.276114441914457,-10.201405895879994,0.018462945053217696,0.06760049931939545,0.6750748531435861,4.4009825514627785,3.361155739289052,-14.820703033399115,0.06760049931939545
DO,Context only,ExtraTrees,raw,114,1.2910897351217054,0.12845515015732986,1.042930158730158,-0.45871936089190796,0.1445692988955479,0.0984879203005794,-0.2627540517961563,1.2910897351217054,0.12845515015732986,-0.45871936089190796,0.0984879203005794
DO,Context only,RandomForest,raw,114,1.3546515627746043,0.15125930123278672,1.1252153169940537,-0.6336241402910502,0.15506125564760373,0.0957186294518891,-0.36422881439718596,1.3546515627746043,0.15125930123278672,-0.6336241402910502,0.0957186294518891
DO,Context only,Ridge,raw,114,2.9287576014015833,2.1061576515463236,1.4891838789897154,-6.030366401635921,0.18391576094816955,0.2729959826317611,-0.11090789813453646,3.69976923366096,2.1827331737492206,-9.583646041874397,0.2729959826317611
DO,Context only,Stacking_RidgeMeta,raw,114,1.3658972422751017,0.23519256617545786,1.0711224556599694,-0.6367591907154012,0.08400881401199102,0.13936634745397586,-0.2790383582481529,1.3658972422751017,0.23519256617545786,-0.6367591907154012,0.13936634745397586
DO,Context only,XGBoost,raw,114,1.3770142707008948,0.20550847198848124,1.1138653323524874,-0.7356677573154454,0.16026444211069438,0.12774752775654355,-0.2862560757419519,1.3770142707008948,0.20550847198848124,-0.7356677573154454,0.12774752775654355
DO,S2 + Context,CatBoost,raw,114,1.3171156706648635,0.11384308978651403,1.081142206008573,-0.5835486140922633,0.2032886063754722,0.20950283205608924,-0.330830728522018,1.3171156706648635,0.11384308978651403,-0.5835486140922633,0.20950283205608924
DO,S2 + Context,DummyMedian,raw,114,1.218158102094031,0.19048261305183384,0.9777192982456143,-0.19802026042554766,1.0719873506828735e-16,,-0.18859649122807012,1.218158102094031,0.19048261305183384,-0.19802026042554766,
DO,S2 + Context,ElasticNet,raw,114,4.38914245940003,3.353104097359451,2.5440514200320945,-15.144229792677558,0.04968794050535133,0.13479955197340107,0.6989932160877942,5.202383428719562,3.5283333967315245,-20.497360899184788,0.13479955197340107
DO,S2 + Context,ExtraTrees,raw,114,1.2549606766940333,0.08983352336882686,1.0123345446950711,-0.41154051481562054,0.22546953197686612,0.17885721265742516,-0.2606565162907262,1.2549606766940333,0.08983352336882686,-0.41154051481562054,0.17885721265742516
DO,S2 + Context,RandomForest,raw,114,1.31282883548326,0.1363243599818067,1.0848834783706962,-0.5419975768048372,0.2109594886002892,0.14168857399820511,-0.3425371431728948,1.31282883548326,0.1363243599818067,-0.5419975768048372,0.14168857399820511
DO,S2 + Context,Ridge,raw,114,3.1792396500845945,2.25045163514125,1.5381946747947515,-7.181515259183516,0.20267121304489732,0.30765421488478717,0.12207994350869304,4.0001678912318015,2.4264679183192843,-11.433152920993562,0.30765421488478717
DO,S2 + Context,Stacking_RidgeMeta,raw,114,1.3890126868710408,0.14362093699256914,1.0748238127047791,-0.7645340108723108,0.13815137531251362,0.1910612968214046,-0.32186826034667343,1.3890126868710408,0.14362093699256914,-0.7645340108723108,0.1910612968214046
DO,S2 + Context,XGBoost,raw,114,1.3098117616230178,0.1516254475343216,1.0635292802777208,-0.5990865879063542,0.2661324065454497,0.19659202113401208,-0.2895276805810761,1.3098117616230178,0.1516254475343216,-0.5990865879063542,0.19659202113401208
DO,S2 only,CatBoost,raw,114,1.4053554389023306,0.1777415193549041,1.11472029923398,-0.8567759760694985,0.18750571174463307,0.18494287971451698,-0.44768710853247945,1.4053554389023306,0.1777415193549041,-0.8567759760694985,0.18494287971451698
DO,S2 only,DummyMedian,raw,114,1.218158102094031,0.19048261305183384,0.9777192982456143,-0.19802026042554766,1.0719873506828735e-16,,-0.18859649122807012,1.218158102094031,0.19048261305183384,-0.19802026042554766,
DO,S2 only,ElasticNet,raw,114,1.276342226717148,0.10830782932981468,0.9921269422183716,-0.42688766562388647,0.23978907897733803,0.23730340819264764,-0.24150499019172522,1.276342226717148,0.10830782932981468,-0.42688766562388647,0.23730340819264764
DO,S2 only,ExtraTrees,raw,114,1.2488186021943433,0.14467584411163506,0.9667174603174612,-0.3476645520377086,0.28423318186912566,0.3147154136389811,-0.32811645781119475,1.2488186021943433,0.14467584411163506,-0.3476645520377086,0.3147154136389811
DO,S2 only,RandomForest,raw,114,1.2827490604773455,0.0805005789449321,1.0119912395966029,-0.47382584325280935,0.26680267882400016,0.27565236021343503,-0.42630454840968063,1.2827490604773455,0.0805005789449321,-0.47382584325280935,0.27565236021343503
DO,S2 only,Ridge,raw,114,1.2350618162337266,0.09471735582394201,0.9766023308323915,-0.3115114582907,0.24488866840425008,0.23511715827327143,-0.2952529624383034,1.2350618162337266,0.09471735582394201,-0.3115114582907,0.23511715827327143
